Time,Score
1999-10-31,5.0
1999-11-30,
1999-12-31,5.0
2000-01-31,3.5
2000-02-29,4.0
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,5.0
2000-07-31,5.0
2000-08-31,5.0
2000-09-30,
2000-10-31,5.0
2000-11-30,
2000-12-31,5.0
2001-01-31,
2001-02-28,5.0
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,2.0
2001-07-31,
2001-08-31,1.0
2001-09-30,5.0
2001-10-31,4.333333333333333
2001-11-30,
2001-12-31,5.0
2002-01-31,5.0
2002-02-28,4.4
2002-03-31,5.0
2002-04-30,5.0
2002-05-31,5.0
2002-06-30,4.666666666666667
2002-07-31,5.0
2002-08-31,5.0
2002-09-30,5.0
2002-10-31,5.0
2002-11-30,5.0
2002-12-31,3.5
2003-01-31,5.0
2003-02-28,5.0
2003-03-31,
2003-04-30,
2003-05-31,3.142857142857143
2003-06-30,2.5
2003-07-31,5.0
2003-08-31,
2003-09-30,2.0
2003-10-31,4.473684210526316
2003-11-30,4.509433962264151
2003-12-31,4.8
2004-01-31,4.595744680851064
2004-02-29,4.666666666666667
2004-03-31,4.764705882352941
2004-04-30,4.72093023255814
2004-05-31,3.0714285714285716
2004-06-30,4.5
2004-07-31,4.3561643835616435
2004-08-31,4.927272727272728
2004-09-30,4.5
2004-10-31,4.690476190476191
2004-11-30,4.54
2004-12-31,4.533333333333333
2005-01-31,4.7594936708860756
2005-02-28,4.5
2005-03-31,4.576271186440678
2005-04-30,4.616666666666666
2005-05-31,4.509433962264151
2005-06-30,4.4
2005-07-31,4.669811320754717
2005-08-31,4.547826086956522
2005-09-30,4.161137440758294
2005-10-31,4.636363636363637
2005-11-30,4.578947368421052
2005-12-31,4.489247311827957
2006-01-31,4.327868852459017
2006-02-28,4.019305019305019
2006-03-31,4.416083916083916
2006-04-30,4.2298850574712645
2006-05-31,4.612021857923497
2006-06-30,4.58282208588957
2006-07-31,4.415172413793104
2006-08-31,4.503884572697003
2006-09-30,4.278368794326241
2006-10-31,4.309523809523809
2006-11-30,4.472786352558895
2006-12-31,4.394444444444445
2007-01-31,4.525287757237531
2007-02-28,4.46975354742345
2007-03-31,4.446280991735537
2007-04-30,4.467071935157041
2007-05-31,4.548086359175662
2007-06-30,4.480707395498392
2007-07-31,4.5007082152974505
2007-08-31,4.442319949012109
2007-09-30,4.518028846153846
2007-10-31,4.399063779988297
2007-11-30,4.444091149973503
2007-12-31,4.47296683325761
2008-01-31,4.44602048857368
2008-02-29,4.488698363211224
2008-03-31,4.442911512844909
2008-04-30,4.370149253731343
2008-05-31,4.5125
2008-06-30,4.422944550669216
2008-07-31,4.47494631352899
2008-08-31,4.330786026200873
2008-09-30,4.466250487709715
2008-10-31,4.448590710599444
2008-11-30,4.471759712699967
2008-12-31,4.37047020065888
2009-01-31,4.449203187250996
2009-02-28,4.402115037400051
2009-03-31,4.407721490738674
2009-04-30,4.4476347375853145
2009-05-31,4.3803494555583695
2009-06-30,4.395619757688723
2009-07-31,4.3405288720992985
2009-08-31,4.423458725182863
2009-09-30,4.377947869259413
2009-10-31,4.39800889642025
2009-11-30,4.3773098409969915
2009-12-31,4.351623966108534
2010-01-31,4.325364738969942
2010-02-28,4.441675144116649
2010-03-31,4.379043126684636
2010-04-30,4.386679352997145
2010-05-31,4.374978279756733
2010-06-30,4.3192461450599655
2010-07-31,4.316067146282974
2010-08-31,4.264847263141572
2010-09-30,4.270860410709644
2010-10-31,4.20283080119465
2010-11-30,4.274652147610405
2010-12-31,4.121336706725701
2011-01-31,4.210670677756149
2011-02-28,4.192661420309093
2011-03-31,4.295428918379738
2011-04-30,4.278558626544665
2011-05-31,4.28327577701036
2011-06-30,4.2245647058823526
2011-07-31,4.2420014219694275
2011-08-31,4.289667467638168
2011-09-30,4.293854830440196
2011-10-31,4.232665133092343
2011-11-30,4.230255245222504
2011-12-31,4.171956013902342
2012-01-31,4.177318668252081
2012-02-29,4.203627513472794
2012-03-31,4.175710164225477
2012-04-30,4.226854514088557
2012-05-31,4.218374083813574
2012-06-30,4.184962043619713
2012-07-31,4.244604709610447
2012-08-31,4.219213304885388
2012-09-30,4.209283989553048
2012-10-31,4.2711747547069745
